zone,zone_lat,zone_lon,time_window,event_count,pothole_count,congestion_count,pedestrian_risk_count,pothole_ratio,congestion_ratio,pedestrian_risk_ratio,density_score,hour,minute,time_of_day
19.884_74.479,19.884,74.479,1970-01-01 00:00:00+00:00,66,0.0,0.0,0.0,0.0,0.0,0.0,66,0,0,night
19.887_74.479,19.887,74.479,1970-01-01 00:00:00+00:00,178,0.0,0.0,0.0,0.0,0.0,0.0,178,0,0,night
19.889_74.48,19.889,74.48,1970-01-01 00:00:00+00:00,190,0.0,0.0,9.0,0.0,0.0,0.04736842105263158,190,0,0,night
19.891_74.482,19.891,74.482,1970-01-01 00:00:00+00:00,133,0.0,0.0,0.0,0.0,0.0,0.0,133,0,0,night
19.893_74.484,19.893,74.484,1970-01-01 00:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,night
19.893_74.484,19.893,74.484,1970-01-01 00:00:10+00:00,69,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0,night
19.895_74.487,19.895,74.487,1970-01-01 00:00:10+00:00,168,0.0,0.0,0.0,0.0,0.0,0.0,168,0,0,night
19.897_74.49,19.897,74.49,1970-01-01 00:00:10+00:00,192,0.0,0.0,0.0,0.0,0.0,0.0,192,0,0,night
19.898_74.493,19.898,74.493,1970-01-01 00:00:10+00:00,72,0.0,0.0,0.0,0.0,0.0,0.0,72,0,0,night
19.898_74.493,19.898,74.493,1970-01-01 00:00:20+00:00,62,0.0,0.0,0.0,0.0,0.0,0.0,62,0,0,night
19.902_74.498,19.902,74.498,1970-01-01 00:00:20+00:00,546,0.0,0.0,2.0,0.0,0.0,0.003663003663003663,546,0,0,night
19.904_74.501,19.904,74.501,1970-01-01 00:00:20+00:00,301,0.0,0.0,0.0,0.0,0.0,0.0,301,0,0,night
19.904_74.503,19.904,74.503,1970-01-01 00:00:20+00:00,98,0.0,0.0,0.0,0.0,0.0,0.0,98,0,0,night
19.9_74.496,19.9,74.496,1970-01-01 00:00:20+00:00,530,0.0,1.0,0.0,0.0,0.0018867924528301887,0.0,530,0,0,night
